Project Name,Merge Commit Hash,Left Parent,Right Parent,Base Commit,Analysis Time (min),Merge Commit Category,Git Conflicts,RefMerge Conflicts,IntelliMerge Conflicts,Total Conflicts,Git True Positives,RefMerge True Positives,IntelliMerge True Positives,Git False Positives,RefMerge False Positives,IntelliMerge False Positives,Git True Negatives,RefMerge True Negatives,IntelliMerge True Negatives,Git False Negatives,RefMerge False Negatives,IntelliMerge False Negatives,Git Categories,Git Categorical Notes,RefMerge Categories,RefMerge Categorical Notes,IntelliMerge Categories,IntelliMerge Categorical Notes,Insights,
Error-prone,07559b47674594fd,a5e7730c7dfe1ce59290,80add4f0726d8189,450322e7b8fddf85f22,86,RefMerge reports less conflicting files than and RefMerge,3,3,28,28,0,0,0,3,3,28,26,26,0,0,0,0,"Ordering Conflict (x1)
Ordering + True Conflict (x1)
Refactoring + True Conflict (x1)","- 1 import ordering conflict
- 1 true conflict made more 
Complicated by ordering conflict
- 1 true conflict made more 
Complicated by extract method","Ordering Conflict (x1)
Ordering + True Conflict (x1)
Simplified Refactoring Conflict (x1)","- 1 import ordering conflict
- 1 true conflict made more
Complicated by ordering conflict
- 1 true conflict simplified by removing
Extract method from it","Matching Conflict (x24)
Ordering Conflict (x3)
Undetected Refactoring 
+ True Conflict (x1)
Resolved Ordering Conflict (x1)","- IntelliMerge reports 24 conflicts
That are strictly comment or annotation
Related. 
- IntelliMerge reports 2 conflicts that
Are caused by matching incorrectly,
Leading to 2 ordering conflicts.
- IntelliMerge reports the same import
Ordering conflict as Git and RefMerge.
- Catches add parameter refactoring
But misses extract method refactoring.
Simplifies but can be simplified further","- RefMerge: Removes extract method from several locations within one conflict which changes the 
Conflict block, removing a method from within the conflict block. This makes the conflict block a little 
Easier to understand. 
- IntelliMerge: Reports a combined 24 comment-related and annotation-related conflicts. I think they are 
Caused by the matching step. While these seem to be pretty simple to fix (just accept the annotation
Or comment), it is possible that one developer changed the comment while the other deleted it. This
Means that whoever is resolving the conflict will still need to investigate the conflict and see if it can 
Be accepted or if additional action needs to be taken. Furthermore, these are scattered across several
Files and I think it can distract the developer from more complicated merge conflicts and still be somewhat
Time consuming. 
- IntelliMerge: Reports 2 conflicts side-by-side which could be considered as the same ordering conflict.
Git and RefMerge do not report this conflict and after investigating, this should not be a conflict. I think
This is caused by the matching step.
- IntelliMerge: Accepts the changes to the method declaration (add parameter refactoring) causing the 
Conflict block to only be within the method. It does not handle the extract method refactoring, which
Could cause the conflict block to be simplified even further. ",
Error-prone,66a86d1652c383ea,7f4b3090a371c,bf623976e0fbfe9,b0046809dccfb492a,65,IntelliMerge reports less conflicting files than and RefMerge,8,5,1,8,1,2,1,7,3,0,0,3,0,0,0,7,"Formatting Conflict (x2)
Refactoring Conflict (x3)
Refactoring + Formatting Conflict (x1)
Refactoring + True Conflict (x1)","- 3 refactoring conflicts caused by 
move/rename class refactorings
- 2 conflicts caused by formatting 
Differences between branches
- 1 conflict that has a formatting 
Conflict and a rename class, move
Class, and rename method that 
Make it more complicated
- 1 true conflict that is made more 
Complicated by a rename class
Refactoring","Formatting Conflict (x2)
Undetected Refactoring + 
Formatting Conflict (x1)","- 2 formatting conflicts, same as 
Git. 
- 1 conflict where RefMiner does 
Not detect the rename method 
Refactoring with a formatting 
Conflict involved. ","Deletes file with conflict block 
Reported by other tool (x7)","- Deletes a directory that had multiple
Files moved to it","- RefMerge: Resolves multiple conflicts caused by move and rename class refactorings.
- RefMerge: RefMiner fails to detect a rename method refactoring, causing RefMerge to not invert/replay
it. RefMerge would still report a formatting conflict if it were detected but should simplify it. 
- RefMerge: Simplifies a conflict by inverting the refactorings in the involved region. Still reports a true
Conflict but it is simpler than Git’s conflicting region. 
- IntelliMerge: Deletes directory containing 7 conflict blocks reported by Git. The files in the directory were
All moved from another directory. Deletes multiple other files that do not contain conflicts",
junit,2238ad20fefadf5,d4755d0db6f3d0ae301,72e10d3ca80ae76af,34d2943cef583ec,20,Both tools resolve,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Refactoring Conflict (x1),"- One branch extracted a method 
Causing a merge conflict",Resolves Refactoring Conflict (x1),"- Resolves Extract Method related
Conflict",Resolved Refactoring Conflict (x1),"- Resolves Extract Method related 
Conflict","- RefMerge: RefMerge successfully inverts and replays the extract method refactoring, resulting in the
Expected merge after reviewing the base, left, and right commits.
- IntelliMerge: Results in the expected merge, handling the refactoring correctly",
junit,d6ccf5b0fa4e0d62e,9d8bb069f68e2194,e857122bff2a9774c,8ff0b44e3fb0c1c56a1d,47,IntelliMerge reports less conflicting files than and RefMerge,5,6,6,8,3,3,4,2,3,2,2,2,2,0,0,0,"Refactoring Conflict (x1)
Refactoring + True Conflict (x1)
","- 1 refactoring conflict caused by 
Change visibility refactoring
- 1 true conflict complicated by
Rename parameter refactoring","Unsupported Refactoring Conflict (x1)
Unsupported Refactoring 
+ True Conflict (x1)
Wrong Move + True Conflict (x1)","- 2 refactoring conflicts caused by 
Unsupported refactorings
- 1 refactoring conflict caused by 
Moving a method to the wrong location
Within the class.","Matching Conflict (x2)
Simplified Refactoring Conflict (x1)
Resolved Refactoring Conflict (x1)","- 2 comments within the same file
Are purely comment-related","- RefMerge: Moves the method to the correct class but wrong location in the file, causing an ordering
Conflict to occur. 
- RefMerge: 2 refactoring conflicts are caused by unsupported refactorings. Adding rename parameter and
Change visibility will resolve 1 conflict and simplify the other.
- IntelliMerge: Comments are a problem in this merge scenario. 
- IntelliMerge: Completely resolves 1 refactoring conflict
- IntelliMerge: Simplifies 1 conflict by handling rename parameter",
storm,832395a1a88d31e6d4,5d601e8d583fcdcffa700,f9d75d8a38d77ec72,03578ca9961fd1ad1f,128,RefMerge reports less conflicting files than RefMerge,2,2,98,98,0,1,2,2,1,96,1,1,0,0,0,0,"Ordering Conflict (x1)
Refactoring + True Conflict (x1)","- 1 import ordering conflict
- 1 true conflict complicated by
A refactoring conflict (extract method)","Ordering Conflict (x1)
Simplified Refactoring Conflict (x1)","- 1 import ordering conflict
- 1 true conflict without refactoring
Conflict","Matching Conflict (x95)
Ordering Conflict (x1)
Simplified Refactoring Conflict (x1)","- 1 true conflict without refactoring 
Conflict broken up into 2 smaller blocks
- 95 conflicts that are comment/
annotation/import-related where 
It treats 1 side as deletes
- 1 import ordering conflict","- RefMerge: Dramatically simplifies a conflict block by inverting Extract Method. Removes the extracted
Method from the conflicting region and causes 21 of the conflicting lines to be identical between left and
Right branch. There is still a conflict block since there are additional conflicting changes made on each
Branch. Overall makes the conflict block much easier to understand.
- IntelliMerge: Dramatically simplifies the conflict block with Extract Method. Handles it correctly and 
Breaks the conflict block into two smaller conflict blocks, making it easy to understand the conflict.
- IntelliMerge: Reports 95 conflicts where one branch added a comment, import, or annotation wihle the
Other branch did not. IntelliMerge treats it as if 1 side changed the import/comment/annotation while
The other deleted it. What really happened is the developers added the import/comment/annotation on 
One branch while they did not on the other. I think this is a matching conflict, so I’m going to refer to 
import/comment/annotation conflicts like this as matching conflicts instead.",
storm ,5b26e9618942ae1,b272f35bed7688427b,c092cc5cdfc8dfefaa,65e9f0c814b2cddc77,32,RefMerge and IntelliMerge reduce conflicts equally,4,3,3,4,3,3,3,1,0,0,0,1,0,0,0,1,Refactoring Conflict (x1),"- Rename Class causes the 
Full file to conflict",Resolves Refactoring Conflict (x1),- Resolves refactoring conflict,"Deletes file with conflict block 
Reported by other tool (x1)","- Deletes the file that has a rename class
Performed within it","- RefMerge: Resolves the refactoring conflict reported by Git by inverting then replaying rename class.
- IntelliMerge: Deletes the file containing the refactoring conflict, reporting a false negative",
javaparser,841d8e51ad0654f3053e,69f7cb397b6d32cc3fb8,74048c4ba3a73428,b494dbd10ad5b60747,88,IntelliMerge reports less conflicting files than and RefMerge,17,16,1,19,13,12,0,4,4,1,2,2,2,1,0,16,"Refactoring Conflict (x2)
Wrong Merge (x1)
Ordering Conflict (x1)
","- Fails to report conflicting region 
In class where methods were moved
From
- Reports lots of moved methods as
Conflicts, can be simplified
- 1 import ordering conflict","Wrong Move (x1)
Ordering Conflict (x2)
IntelliJ Optimization (x1)","- Moves methods back to original class
Avoiding missed conflict region, 
Moves to wrong locations leading to 
Bigger conflicting region.
- Simplifies conflict by inverting extract
Method refactoring, produces ordering
Conflict that is easy to resolve. 
- Names the variable incorrectly when
Inlining leading to a merge conflict. 
- 1 import ordering conflict","Matching Conflict (x1)
Deletes file with conflict block 
Reported by other tool (x17)","- Reports 1 comment-related conflict
- Deletes most of the merged files
Within the project","- RefMege:  Avoids a false negative by inverting move method refactorings but makes the conflicting 
Region more complicated instead of simplifying it by creating a larger ordering conflict.
- RefMerge: Simplifies a conflict by inverting extract method refactoring, although produces an ordering
Conflict in the process. This is an easy conflict to resolve, however. 
- Refmerge: Inverts extract method and leads to a merge conflict that would not ordinarily be a conflit 
Because of naming the variable to the wrong name. Names root1 instead of root. I’m considering this 
An intelliJ optimization since I think it is avoidable.
- IntelliMerge: Reports 1 comment-related (matching) conflict, it is simple to resolve.
- IntelliMerge: Deletes most of the files in the project, including files containing al 17 merge conflicts
Reported by Git.",
javaparser,51733f6aeedefc53d63,57f6e2955c60cb71fa,9c44e26a857bbec,f1cce0ac20c5af34085d,76,IntelliMerge reports less conflicting files than and RefMerge,8,11,8,13,7,7,6,1,4,2,5,2,4,0,0,1,Refactoring + Ordering Conflict (x1) ,- ordering conflict at method level,"Unsupported Refactoring 
+ Ordering Conflict (x1)
IntelliJ Optimizaiton (x3)
","- ordering conflict at method level
- Does not support rename parameter
- 3 formatting issues caused by IntelliJ
Optimizations","Resolved Ordering Conflict (x1)
Matching Conflict (x2)
Wrong Merge (x1)","- Resolves ordering conflict reported
By Git and RefMerge
- 2 Annotation-related conflicts
- 1 conflict where it merges when it 
Should report a conflict","- RefMerge: There are 3 conflicts that RefMerge reports that should not be reported. This is caused by 
Spacing changes that IntelliJ makes after performing a refactoring. The conflicts are trivial to solve but
I think that developers will rarely run into this issue. If they are using RefMerge, they will have the settings
For spacings and optimizations to what they prefer. 
- IntelliMerge:  Reports 2 annotation-related conflicts that are pretty trivial to resolve.
- IntelliMerge:  Resolves the ordering conflict that Git and RefMerge report
- IntelliMerge:  Fails to report a conflict when both branches make conflicting changes. There are several
Constructors that are similar and I think the matching algorithm treats fails to match properly because of this",
antlr4,35ab203cbaa1160d,90bcfec45682a4af2f88,a753ada1f0ffb40b8a0,019ea15e3f1f87b402f,29,IntelliMerge reports less conflicting lines than RefMerge,2,2,6,7,1,1,1,1,1,5,5,5,1,0,0,0,Refactoring Conflict (x1),"- 1 Rename Method + Change 
Parameter Type",Unsupported Refactoring Conflict (x1),"- Inverts Rename Method correctly
But does not support change param",Matching Conflict (x5),"- Resolves refactoring conflict
- Reports 3 comment related conflicts
- reports 2 annotation related conflicts","- RefMerge: Successfully inverts the rename method refactoring but does not support change parameter
Type, failing to resolve the conflict.
- IntelliMerge: Successfully resolves the change signature refactoring (method rename + parameter type)
- IntelliMerge: Reports 5 additional matching conflicts ",
antlr4,e672a7116e545b02,aca3e0ddb226c4afc8,3f1f76df7d44332c637e,dce72dcbfb3a3d5efc,23,IntelliMerge resolves the scenario while RefMerge does not,4,4,0,4,0,0,0,4,4,0,0,0,0,0,0,4,Refactoring Conflict (x4),"- 1 rename class + extract super class
- 3 move method + several param
Refactorings",Unsupported Refactoring Conflict (x4),"- Does not support extract superclass
- Does not support parameter level
Refactorings","Deletes file with conflict block 
Reported by other tool (x4)","- Successfully handles all parameter
Level refactorings. Fails to move 
Method and deletes destination 
For move method refactorings.
- Deletes base and super class in 
Extract super class refactoring","- RefMerge: Fails to move the methods because it cannot find the PSI signatures due to differences in 
Parameters (different types, annotations, etc). All of these are caused by unsupported refactorings. 
Adding parameter level refactorings would allow for params to be inverted then method move to be inverted,
Resolving the conflicts.
- IntelliMerge: Deletes several files in this merge scenario. Only counting false negatives for files with 
Conflict blocks. IntelliMerge is very successful in this merge scenario with the parameter level refactorings,
Just fails to move the methods to destination classes and deletes destination classes. ",Use this example
